problem,solution,par
"Honey bear fails at beekeeping and misses start to hiving seasons altogether? (3, 4)","ONE YEAR",2
"Kangaroo chewed oak leaves, eucalyptus bark & fruit (7)",ORANGES,2
"Drops in between Tue-Thu on the way back? (3)",DEW,1
"Out-of-control car leads to something horrible!? (5)",CRASH,1
"Completely and utterly sacred? (6)",WHOLLY,3
"""Too many!"" you said, leaving a throuple arrangement (8)",PLETHORA,2
"Leads from our karaoke club amps interfere with Bose volume setting? (8)",BOOKCASE,2
"Agitate, unload, dry! (2, 7)","DO LAUNDRY",1
"Prancer prances, adorning exterior of tree for Jesus, perhaps (9)",CARPENTER,2
"Christmas now? (7, 3)","PRESENT DAY",3
"Places to read two signs overlapping (9)",LIBRARIES,2
"Pole Dancer lives at manor - that's secret! (5)",NORTH,2
"Tinder mismatch after swiping right… Abort! (3, 2)","END IT",1
"Married life turns cold after we first kiss (7)",WEDLOCK,2
"Spell POTS, SUN, OLD & CAR wrong? (9)",CAULDRONS,2
"Hunted lost bear, sleep-deprived grizzly with an appetite (8)",HUNGRILY,2
"Chicken crosses avenue to get to the other side? (6)",HEAVEN,2
"Mister Potato Head, during formative years, close to toddler (7)",SPRAYER,4
"Way? No way! Way. Way? (3)",AYE,3
"It's not just bad acting that he's into (8)",CHEATING,2
"String from viola you tuned for composition (6)",LAYOUT,2
"Ghostbusting duo to start uncontrollably blasting weapon (7)",SHOTGUN,2
"i'm eyePAtched! (5, 5)","GIANT PANDA",7
"Get out! Shakespeare to banish Romeo and bring in Charlie? (6)",ESCAPE,2
"Alert ears flipped directions (4)",WARN,2
"Original dry rot scraped from Victorian-styled drawer from centuries ago? (2, 5)","DA VINCI",3
"Oceanographer's 9 to 5 is noble? (5)",ARGON,1
"7-Eleven uniform among ugliest uniforms (5, 4)",MINUS FOUR,5
"Mark really lost everything after end of relationship (4)",PREY,2
"Original Big Bad Wolf is foremost huffing and puffing creature (8)",BLOWFISH,2
"Last lecture of course to teach overworked pupils? (3, 6)","EYE STRAIN",3
"Display by exotic bird has swallows beginning to notice (8)",BRANDISH,3
"Defending human rights leads to actions showing heart & grit (5)",GNASH,3
"Surrounded by frantic maids shouting ""TEA!"" (6)",AMIDST,1
"Lie (v.) to twist; to conceal (4)",VEIL,1
"Torpedo! Boat wreckage swallowed by rough sea around midnight (8)",SABOTAGE,2
"Box for dead pet of Schrödinger contains almost half-skeleton (6)",CASKET,1
"Add a dash of honey, cut one pea, then spread liberally (9)",HYPHENATE,4
"_ < 20? (10)",UNDERSCORE,2
"Primate couples with priority in boarding Noah's boat? (6)",??,3
"Eva and Ruth - runners up to Miss World (5)",EARTH,1
"Son, I'm cut! Chopped a digit off, maybe? (8)",MISCOUNT,3
"Wolf pack roved with uncertainty, initially turning back (6)",DEVOUR,2
"Doctor transplants heart with heart of one! (5)",DONOR,2
"Right Hook! Left Jab! Counter! Counter! (3)",BAR,3
"Fig 'n' ram! (5, 7)",MIXED FARMING,6
"Plain, unsalted barnacle (4)",BARE,1
"Opening two letters from clown, touchingly sad? (4)",DOWN,2
"Satisfactory sausage misses first and second medals for delicacy (7)",FINESSE,4
"Ground uneven! Pesky mole! (3)",SPY,2
"Behind schedule, chasing trains, I went express internationally? (9)",TRANSLATE,3
"Car somersaults during distance event, defying belief (7)",MIRACLE,2
"Pit players or co-captain against six highest-rated centres? (9)",ORCHESTRA,3
"Anagram indicator? Yes - here, every single word is! (10)",DICTIONARY,2
"Break free from hunter's latest bird trap (4)",BEAK,2
"How illusionist disguises a dead giveaway? (4)",WILL,1
"For example, an elephant over 50 reproduced three times (10)",QUADRUPLED,5
"Repeat this passage: ""Ruthless truth boothed by uncouth sleuth"" (7)",SHUTTLE,3
""Never coming back!" Dining experience ends with cold dish? (7)",REVENGE,1
"Support astrophysicist after being stripped of award and key qualifications (6)",ASSIST,2
"Beau, Victor, Rocky, Neil, Nate (9)",VALENTINE,3
"Rich, 6'6"", with dreamy face (5)",VIVID,3
"No more texting inside by primary classmates… & teachers (7)",EXTINCT,3
"Package returned in Wednesday's post (4)",SEND,1
"He's into splattering paint - quite the scene-maker! (8)",THESPIAN,2
"Broadcaster's question: ""Is Jamie Oliver completely naked?"" (2, 1, 4)","AM I LIVE",1
"Dropped Jacksonville's latest quarterback after non-pass? (4)",FELL,2
"Love initially absent from prom dance (7)",ROMANCE,1
"Looks without blinking end in tears tears tears (6)",STARES,1
"Apparel store discounting item of clothing with odd scent? (6)",CLOSET,2
"Maybe uniform eater eats uniform eater? (5)",MOUTH,4
"Gorilla's face broke out from allergy - bananas, in fact (6)",REALLY,1
"A follower starts to lose faith about UFO crop circle hoax? (5)",??,3
"You, me and everyone possibly in favour of love among nuns (8)",PRONOUNS,4
"""Let him bleed!"" - prisoner. ""Prick!"" - guard. (7)",THIMBLE,2
"I'm bald, clutching wobbly cane, and prone to falling over (10)",IMBALANCED,2
"Creepy stalker from Los Angeles follows stars, wants our bodyguards gone? (9)",TARANTULA,4
"Bluebeard selecting squares for patch (3)",BED,2
"Otto (your second cousin twice removed) crushed audition (6)",TRYOUT,2
"Early plea entered, charge overturned & case dismissed for plot involving axes (5)",GRAPH,2
"Highbrow couple to start breakfast, digging into Froot Loops, perhaps (8)",CEREBRAL,3
"No hiding from dinosaur rampaging halfway across the globe? (6)",RADIUS,1
"Blemish turning part of white rose yellow (7)","EYESORE",2
"Fabled beauty of chameleon dropping camouflage briefly (5)","HELEN",1
"Consequence of misusing debit card! (3, 6)","BAD CREDIT",1
