problem,solution,probes,positives,negatives,item_space,answer_raw,features,depth,base_rate,neg_types,edit_distance_stats,neg_provenance
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. tkqzv
  2. yxzha
  3. nmuvf
  4. diexa
  5. decyf
  6. threb

Group B (negative examples):
  1. xqenx
  2. jjbif
  3. urrku
  4. ffazt
  5. kopio
  6. gyyoz",all characters are distinct,"[{""item"": ""nhtkm"", ""label"": ""A""}, {""item"": ""vbues"", ""label"": ""A""}, {""item"": ""dkerd"", ""label"": ""B""}, {""item"": ""gohnl"", ""label"": ""A""}, {""item"": ""gttag"", ""label"": ""B""}, {""item"": ""mjqec"", ""label"": ""A""}, {""item"": ""lokks"", ""label"": ""B""}, {""item"": ""sqtwg"", ""label"": ""A""}, {""item"": ""finwf"", ""label"": ""B""}, {""item"": ""yytiv"", ""label"": ""B""}]","[""tkqzv"", ""yxzha"", ""nmuvf"", ""diexa"", ""decyf"", ""threb""]","[""xqenx"", ""jjbif"", ""urrku"", ""ffazt"", ""kopio"", ""gyyoz""]",lower_alpha_L5,all chars unique,"[""all_chars_unique""]",0,0.67,"{""close_targeted"": 0, ""close_simple"": 0, ""random"": 6}",{},"[{""neg"": ""kopio"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""ffazt"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""urrku"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""xqenx"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""gyyoz"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""jjbif"", ""src"": null, ""method"": ""random"", ""ed"": null}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 1632
  2. 7494
  3. 8799
  4. 0126
  5. 1401
  6. 8190

Group B (negative examples):
  1. 3632
  2. 8140
  3. 0121
  4. 1301
  5. 8299
  6. 7094",the sum of the digits is a multiple of 3,"[{""item"": ""7715"", ""label"": ""B""}, {""item"": ""3306"", ""label"": ""A""}, {""item"": ""7774"", ""label"": ""B""}, {""item"": ""4517"", ""label"": ""B""}, {""item"": ""1206"", ""label"": ""A""}, {""item"": ""6715"", ""label"": ""B""}, {""item"": ""5265"", ""label"": ""A""}, {""item"": ""1809"", ""label"": ""A""}, {""item"": ""4793"", ""label"": ""B""}, {""item"": ""8679"", ""label"": ""A""}]","[""1632"", ""7494"", ""8799"", ""0126"", ""1401"", ""8190""]","[""3632"", ""8140"", ""0121"", ""1301"", ""8299"", ""7094""]",lower_digit_L4,digit sum divisible by 3,"[""digit_sum""]",0,0.33,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""3632"", ""src"": ""1632"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""8299"", ""src"": ""8799"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""7094"", ""src"": ""7494"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""0121"", ""src"": ""0126"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""1301"", ""src"": ""1401"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""8140"", ""src"": ""8190"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 9533
  2. 2017
  3. 4969
  4. 0389
  5. 7603
  6. 2347

Group B (negative examples):
  1. 0385
  2. 5933
  3. 2747
  4. 4699
  5. 2717
  6. 7903",the number is prime,"[{""item"": ""0265"", ""label"": ""B""}, {""item"": ""7435"", ""label"": ""B""}, {""item"": ""3359"", ""label"": ""A""}, {""item"": ""1289"", ""label"": ""A""}, {""item"": ""1031"", ""label"": ""A""}, {""item"": ""5167"", ""label"": ""A""}, {""item"": ""7640"", ""label"": ""B""}, {""item"": ""2567"", ""label"": ""B""}, {""item"": ""2112"", ""label"": ""B""}, {""item"": ""7621"", ""label"": ""A""}]","[""9533"", ""2017"", ""4969"", ""0389"", ""7603"", ""2347""]","[""0385"", ""5933"", ""2747"", ""4699"", ""2717"", ""7903""]",lower_digit_L4,is prime number,"[""is_prime_number""]",0,0.13,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.33}","[{""neg"": ""7903"", ""src"": ""7603"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""0385"", ""src"": ""0389"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""2747"", ""src"": ""2347"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""4699"", ""src"": ""4969"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""5933"", ""src"": ""9533"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""2717"", ""src"": ""2017"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 04
  2. 717
  3. 0303
  4. 44
  5. 959
  6. 1001

Group B (negative examples):
  1. 0330
  2. 177
  3. 904
  4. 544
  5. 1010
  6. 59",the number reads the same forwards and backwards,"[{""item"": ""88"", ""label"": ""A""}, {""item"": ""022"", ""label"": ""A""}, {""item"": ""15079"", ""label"": ""B""}, {""item"": ""66"", ""label"": ""A""}, {""item"": ""842"", ""label"": ""B""}, {""item"": ""08"", ""label"": ""A""}, {""item"": ""337"", ""label"": ""B""}, {""item"": ""4832"", ""label"": ""B""}, {""item"": ""09"", ""label"": ""A""}, {""item"": ""34844"", ""label"": ""B""}]","[""04"", ""717"", ""0303"", ""44"", ""959"", ""1001""]","[""0330"", ""177"", ""904"", ""544"", ""1010"", ""59""]",lower_digit_L2-5,is palindrome number,"[""is_palindrome_number""]",0,0.06,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.5}","[{""neg"": ""544"", ""src"": ""44"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""177"", ""src"": ""717"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""1010"", ""src"": ""1001"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""904"", ""src"": ""04"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""59"", ""src"": ""959"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""0330"", ""src"": ""0303"", ""method"": ""close_simple"", ""ed"": 2}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. v+v=u
  2. f+&4w
  3. @n#ad
  4. e!kc@
  5. nvu!%
  6. 1-eh@

Group B (negative examples):
  1. 1-&h@
  2. v+v=+
  3. e!kci
  4. @n1ad
  5. nvui%
  6. *+&4w",the number of symbols is exactly 2,"[{""item"": ""ulj4f"", ""label"": ""B""}, {""item"": ""of%-n"", ""label"": ""A""}, {""item"": ""*x6z*"", ""label"": ""A""}, {""item"": ""&-58g"", ""label"": ""A""}, {""item"": ""3*n$f"", ""label"": ""A""}, {""item"": ""bp+$5"", ""label"": ""A""}, {""item"": ""09zi&"", ""label"": ""B""}, {""item"": ""82#c9"", ""label"": ""B""}, {""item"": ""9+ht9"", ""label"": ""B""}, {""item"": ""tf&eg"", ""label"": ""B""}]","[""v+v=u"", ""f+&4w"", ""@n#ad"", ""e!kc@"", ""nvu!%"", ""1-eh@""]","[""1-&h@"", ""v+v=+"", ""e!kci"", ""@n1ad"", ""nvui%"", ""*+&4w""]",lower_with_symbols_L5,count symbols equals 2,"[""count_symbols""]",0,0.22,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""*+&4w"", ""src"": ""f+&4w"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""e!kci"", ""src"": ""e!kc@"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""nvui%"", ""src"": ""nvu!%"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""1-&h@"", ""src"": ""1-eh@"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""v+v=+"", ""src"": ""v+v=u"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""@n1ad"", ""src"": ""@n#ad"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. !br86
  2. 0u@hu
  3. q+ecc
  4. 5pr8$
  5. z%6um
  6. zn&2g

Group B (negative examples):
  1. 3br86
  2. z%6-m
  3. 5$r8$
  4. qyecc
  5. 0u5hu
  6. z*&2g",the number of symbols is exactly 1,"[{""item"": ""q71#0"", ""label"": ""A""}, {""item"": ""g0l+r"", ""label"": ""A""}, {""item"": ""6w5nz"", ""label"": ""B""}, {""item"": ""smkoo"", ""label"": ""B""}, {""item"": ""e9rwk"", ""label"": ""B""}, {""item"": ""ung$1"", ""label"": ""A""}, {""item"": ""8b+$m"", ""label"": ""B""}, {""item"": ""ok8o!"", ""label"": ""A""}, {""item"": ""a0j$a"", ""label"": ""A""}, {""item"": ""%e24%"", ""label"": ""B""}]","[""!br86"", ""0u@hu"", ""q+ecc"", ""5pr8$"", ""z%6um"", ""zn&2g""]","[""3br86"", ""z%6-m"", ""5$r8$"", ""qyecc"", ""0u5hu"", ""z*&2g""]",lower_with_symbols_L5,count symbols equals 1,"[""count_symbols""]",0,0.40,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""0u5hu"", ""src"": ""0u@hu"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""z%6-m"", ""src"": ""z%6um"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""5$r8$"", ""src"": ""5pr8$"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""z*&2g"", ""src"": ""zn&2g"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""qyecc"", ""src"": ""q+ecc"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""3br86"", ""src"": ""!br86"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. fjmy
  2. wohf
  3. alzx
  4. hcyi
  5. ysph
  6. xxpb

Group B (negative examples):
  1. ysp
  2. xxb
  3. fmy
  4. alozx
  5. cyi
  6. woh",the length of the string is exactly 4,"[{""item"": ""jkmu"", ""label"": ""A""}, {""item"": ""uupocrn"", ""label"": ""B""}, {""item"": ""mdyl"", ""label"": ""A""}, {""item"": ""ubkmql"", ""label"": ""B""}, {""item"": ""sao"", ""label"": ""B""}, {""item"": ""ekmb"", ""label"": ""A""}, {""item"": ""wuda"", ""label"": ""A""}, {""item"": ""jiene"", ""label"": ""B""}, {""item"": ""cijz"", ""label"": ""A""}, {""item"": ""bkphu"", ""label"": ""B""}]","[""fjmy"", ""wohf"", ""alzx"", ""hcyi"", ""ysph"", ""xxpb""]","[""ysp"", ""xxb"", ""fmy"", ""alozx"", ""cyi"", ""woh""]",lower_alpha_L3-7,length equals 4,"[""length""]",0,0.21,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""xxb"", ""src"": ""xxpb"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""woh"", ""src"": ""wohf"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""ysp"", ""src"": ""ysph"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""fmy"", ""src"": ""fjmy"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""alozx"", ""src"": ""alzx"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""cyi"", ""src"": ""hcyi"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. vccro
  2. nnymq
  3. jiggq
  4. dqqeq
  5. exuxx
  6. smxyy

Group B (negative examples):
  1. duqeq
  2. jgigq
  3. smxyx
  4. ndymq
  5. euxxx
  6. cvcro",the number of character runs is exactly 4,"[{""item"": ""pzvcg"", ""label"": ""B""}, {""item"": ""mfynj"", ""label"": ""B""}, {""item"": ""sfahm"", ""label"": ""B""}, {""item"": ""doogx"", ""label"": ""A""}, {""item"": ""llnvp"", ""label"": ""A""}, {""item"": ""mmdpk"", ""label"": ""A""}, {""item"": ""urvdb"", ""label"": ""B""}, {""item"": ""huadv"", ""label"": ""B""}, {""item"": ""ednnj"", ""label"": ""A""}, {""item"": ""mvssx"", ""label"": ""A""}]","[""vccro"", ""nnymq"", ""jiggq"", ""dqqeq"", ""exuxx"", ""smxyy""]","[""duqeq"", ""jgigq"", ""smxyx"", ""ndymq"", ""euxxx"", ""cvcro""]",lower_alpha_L5,num runs equals 4,"[""num_runs""]",0,0.15,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.5}","[{""neg"": ""euxxx"", ""src"": ""exuxx"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""jgigq"", ""src"": ""jiggq"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""smxyx"", ""src"": ""smxyy"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""cvcro"", ""src"": ""vccro"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""duqeq"", ""src"": ""dqqeq"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""ndymq"", ""src"": ""nnymq"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 0025
  2. 4524
  3. 4345
  4. 5205
  5. 1215
  6. 3054

Group B (negative examples):
  1. 5275
  2. 3057
  3. 4564
  4. 7345
  5. 1211
  6. 8025",the largest digit is exactly 5,"[{""item"": ""2061"", ""label"": ""B""}, {""item"": ""4354"", ""label"": ""A""}, {""item"": ""4136"", ""label"": ""B""}, {""item"": ""0053"", ""label"": ""A""}, {""item"": ""1159"", ""label"": ""B""}, {""item"": ""0454"", ""label"": ""A""}, {""item"": ""3449"", ""label"": ""B""}, {""item"": ""3251"", ""label"": ""A""}, {""item"": ""3399"", ""label"": ""B""}, {""item"": ""5345"", ""label"": ""A""}]","[""0025"", ""4524"", ""4345"", ""5205"", ""1215"", ""3054""]","[""5275"", ""3057"", ""4564"", ""7345"", ""1211"", ""8025""]",lower_digit_L4,max digit equals 5,"[""max_digit""]",0,0.06,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""8025"", ""src"": ""0025"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""4564"", ""src"": ""4524"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""1211"", ""src"": ""1215"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""5275"", ""src"": ""5205"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""7345"", ""src"": ""4345"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""3057"", ""src"": ""3054"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. ailxy
  2. bjkry
  3. denpt
  4. ipqrz
  5. gjjks
  6. bilrr

Group B (negative examples):
  1. gyjks
  2. jbkry
  3. piqrz
  4. ailyx
  5. dezpt
  6. tilrr",the letters are in alphabetical order,"[{""item"": ""addpw"", ""label"": ""A""}, {""item"": ""ccerv"", ""label"": ""A""}, {""item"": ""vaqqe"", ""label"": ""B""}, {""item"": ""deglx"", ""label"": ""A""}, {""item"": ""wmplp"", ""label"": ""B""}, {""item"": ""hmssy"", ""label"": ""A""}, {""item"": ""gcfet"", ""label"": ""B""}, {""item"": ""boqss"", ""label"": ""A""}, {""item"": ""dthmz"", ""label"": ""B""}, {""item"": ""mmjjs"", ""label"": ""B""}]","[""ailxy"", ""bjkry"", ""denpt"", ""ipqrz"", ""gjjks"", ""bilrr""]","[""gyjks"", ""jbkry"", ""piqrz"", ""ailyx"", ""dezpt"", ""tilrr""]",lower_alpha_L5,letters sorted ascending,"[""letters_sorted_ascending""]",0,0.01,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.5}","[{""neg"": ""tilrr"", ""src"": ""bilrr"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""ailyx"", ""src"": ""ailxy"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""dezpt"", ""src"": ""denpt"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""jbkry"", ""src"": ""bjkry"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""gyjks"", ""src"": ""gjjks"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""piqrz"", ""src"": ""ipqrz"", ""method"": ""close_simple"", ""ed"": 2}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 6464
  2. 9994
  3. 6222
  4. 0002
  5. 0003
  6. 5559

Group B (negative examples):
  1. 0020
  2. 7003
  3. 6225
  4. 9594
  5. 5595
  6. 6474",the string contains a repeated two-character sequence,"[{""item"": ""6665"", ""label"": ""A""}, {""item"": ""2222"", ""label"": ""A""}, {""item"": ""9478"", ""label"": ""B""}, {""item"": ""6111"", ""label"": ""A""}, {""item"": ""0888"", ""label"": ""A""}, {""item"": ""2475"", ""label"": ""B""}, {""item"": ""6185"", ""label"": ""B""}, {""item"": ""2317"", ""label"": ""B""}, {""item"": ""3939"", ""label"": ""A""}, {""item"": ""3345"", ""label"": ""B""}]","[""6464"", ""9994"", ""6222"", ""0002"", ""0003"", ""5559""]","[""0020"", ""7003"", ""6225"", ""9594"", ""5595"", ""6474""]",lower_digit_L4,has repeated bigram,"[""has_repeated_bigram""]",0,0.03,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.33}","[{""neg"": ""5595"", ""src"": ""5559"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""0020"", ""src"": ""0002"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""7003"", ""src"": ""0003"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""9594"", ""src"": ""9994"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""6225"", ""src"": ""6222"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""6474"", ""src"": ""6464"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 8503
  2. 5218
  3. 0783
  4. 3614
  5. 6123
  6. 9698

Group B (negative examples):
  1. 0075
  2. 6768
  3. 0977
  4. 5260
  5. 7804
  6. 0028",the digits alternate between even and odd,"[{""item"": ""2140"", ""label"": ""B""}, {""item"": ""5370"", ""label"": ""B""}, {""item"": ""9890"", ""label"": ""A""}, {""item"": ""8145"", ""label"": ""A""}, {""item"": ""3632"", ""label"": ""A""}, {""item"": ""5078"", ""label"": ""A""}, {""item"": ""6415"", ""label"": ""B""}, {""item"": ""2044"", ""label"": ""B""}, {""item"": ""8309"", ""label"": ""A""}, {""item"": ""2328"", ""label"": ""B""}]","[""8503"", ""5218"", ""0783"", ""3614"", ""6123"", ""9698""]","[""0075"", ""6768"", ""0977"", ""5260"", ""7804"", ""0028""]",lower_digit_L4,digits alternating parity,"[""digits_alternating_parity""]",0,0.13,"{""close_targeted"": 0, ""close_simple"": 0, ""random"": 6}",{},"[{""neg"": ""6768"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""7804"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""0075"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""0028"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""5260"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""0977"", ""src"": null, ""method"": ""random"", ""ed"": null}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 5799
  2. 6004
  3. 0082
  4. 5137
  5. 1373
  6. 6842

Group B (negative examples):
  1. 1141
  2. 6389
  3. 5103
  4. 5244
  5. 0639
  6. 6967",all digits have the same parity (all even or all odd),"[{""item"": ""3516"", ""label"": ""B""}, {""item"": ""5131"", ""label"": ""A""}, {""item"": ""8004"", ""label"": ""A""}, {""item"": ""0459"", ""label"": ""B""}, {""item"": ""5953"", ""label"": ""A""}, {""item"": ""3932"", ""label"": ""B""}, {""item"": ""1739"", ""label"": ""A""}, {""item"": ""1174"", ""label"": ""B""}, {""item"": ""3963"", ""label"": ""B""}, {""item"": ""8426"", ""label"": ""A""}]","[""5799"", ""6004"", ""0082"", ""5137"", ""1373"", ""6842""]","[""1141"", ""6389"", ""5103"", ""5244"", ""0639"", ""6967""]",lower_digit_L4,digits all same parity,"[""digits_all_same_parity""]",0,0.11,"{""close_targeted"": 0, ""close_simple"": 0, ""random"": 6}",{},"[{""neg"": ""6389"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""5244"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""5103"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""6967"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""1141"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""0639"", ""src"": null, ""method"": ""random"", ""ed"": null}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 282
  2. 642
  3. 044
  4. 848
  5. 268
  6. 420

Group B (negative examples):
  1. 569
  2. 517
  3. 737
  4. 416
  5. 299
  6. 194",all digits are even,"[{""item"": ""781"", ""label"": ""B""}, {""item"": ""622"", ""label"": ""A""}, {""item"": ""808"", ""label"": ""A""}, {""item"": ""667"", ""label"": ""B""}, {""item"": ""503"", ""label"": ""B""}, {""item"": ""258"", ""label"": ""B""}, {""item"": ""086"", ""label"": ""A""}, {""item"": ""464"", ""label"": ""A""}, {""item"": ""799"", ""label"": ""B""}, {""item"": ""828"", ""label"": ""A""}]","[""282"", ""642"", ""044"", ""848"", ""268"", ""420""]","[""569"", ""517"", ""737"", ""416"", ""299"", ""194""]",lower_digit_L3,all digits even,"[""all_digits_even""]",0,0.10,"{""close_targeted"": 0, ""close_simple"": 0, ""random"": 6}",{},"[{""neg"": ""737"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""416"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""299"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""517"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""194"", ""src"": null, ""method"": ""random"", ""ed"": null}, {""neg"": ""569"", ""src"": null, ""method"": ""random"", ""ed"": null}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 4114
  2. 2352
  3. 0030
  4. 5867
  5. 1033
  6. 8858

Group B (negative examples):
  1. 5030
  2. 1073
  3. 3867
  4. 2356
  5. 8859
  6. 4614",the range between largest and smallest digits is exactly 3,"[{""item"": ""0250"", ""label"": ""B""}, {""item"": ""1130"", ""label"": ""A""}, {""item"": ""0981"", ""label"": ""B""}, {""item"": ""0581"", ""label"": ""B""}, {""item"": ""3525"", ""label"": ""A""}, {""item"": ""6006"", ""label"": ""B""}, {""item"": ""2543"", ""label"": ""A""}, {""item"": ""3431"", ""label"": ""A""}, {""item"": ""8493"", ""label"": ""B""}, {""item"": ""3643"", ""label"": ""A""}]","[""4114"", ""2352"", ""0030"", ""5867"", ""1033"", ""8858""]","[""5030"", ""1073"", ""3867"", ""2356"", ""8859"", ""4614""]",lower_digit_L4,digit range equals 3,"[""digit_range""]",0,0.10,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""8859"", ""src"": ""8858"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""3867"", ""src"": ""5867"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""5030"", ""src"": ""0030"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""1073"", ""src"": ""1033"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""2356"", ""src"": ""2352"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""4614"", ""src"": ""4114"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 98
  2. 99
  3. 75
  4. 32
  5. 28
  6. 12

Group B (negative examples):
  1. 49
  2. 38
  3. 23
  4. 13
  5. 79
  6. 96",the number of divisors is exactly 6,"[{""item"": ""47"", ""label"": ""B""}, {""item"": ""76"", ""label"": ""A""}, {""item"": ""29"", ""label"": ""B""}, {""item"": ""45"", ""label"": ""A""}, {""item"": ""78"", ""label"": ""B""}, {""item"": ""46"", ""label"": ""B""}, {""item"": ""69"", ""label"": ""B""}, {""item"": ""63"", ""label"": ""A""}, {""item"": ""92"", ""label"": ""A""}, {""item"": ""18"", ""label"": ""A""}]","[""98"", ""99"", ""75"", ""32"", ""28"", ""12""]","[""49"", ""38"", ""23"", ""13"", ""79"", ""96""]",lower_digit_L2,num divisors equals 6,"[""num_divisors""]",0,0.14,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.17}","[{""neg"": ""13"", ""src"": ""12"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""49"", ""src"": ""99"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""96"", ""src"": ""98"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""23"", ""src"": ""32"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""79"", ""src"": ""75"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""38"", ""src"": ""28"", ""method"": ""close_simple"", ""ed"": 1}]"
