problem,solution
"Other: buda razoma bofoso buda dawema English: a dolphin dislikes a bird
Other: kiya kijima pexuti buda nayimu English: the monkey will want people
Other: kiya nayimu pexuti buda dawemu English: the people will want birds
Other: buda nayimu bofoti kiya kijimu English: people will dislike the monkeys
Other: kiya sovima vuzeso kiya kijima English: the frog sees the monkey
Other: kiya nayima bofoti buda dawema English: ",the person will dislike a bird
"English: a dolphin dislikes a bird Other: buda razoma bofoso buda dawema
English: the monkey will want people Other: kiya kijima pexuti buda nayimu
English: the people will want birds Other: kiya nayimu pexuti buda dawemu
English: people will dislike the monkeys Other: buda nayimu bofoti kiya kijimu
English: the frog sees the monkey Other: kiya sovima vuzeso kiya kijima
English: the person will dislike a bird Other: ",kiya nayima bofoti buda dawema
"Other: jovovo jeti pekufu jeti zifoyi English: a monkey liked frogs
Other: wawovo ruqo jovovo jeti zifofa English: the child likes a monkey
Other: luqevo ruqo wawovo ruqo yaluyi English: the person touched the child
Other: pekuvo jeti luqevo ruqo deteqe English: a frog will hit the person
Other: wawofu jeti luqefu jeti genefa English: children praise people
Other: pekufu jeti wawovo jeti yaluyi English: ",frogs touched a child
"English: a monkey liked frogs Other: jovovo jeti pekufu jeti zifoyi
English: the child likes a monkey Other: wawovo ruqo jovovo jeti zifofa
English: the person touched the child Other: luqevo ruqo wawovo ruqo yaluyi
English: a frog will hit the person Other: pekuvo jeti luqevo ruqo deteqe
English: children praise people Other: wawofu jeti luqefu jeti genefa
English: frogs touched a child Other: ",pekufu jeti wawovo jeti yaluyi
"Other: pomoci hoke negoyi yunebo cafi English: the cats will hit a crow
Other: yuneci cafi doviyi pomobo cafi English: crows will see a cat
Other: yuneci hoke dovica hopubo hoke English: the crows saw the monkey
Other: jijoci hoke wanaca pomoci hoke English: the frogs disliked the cats
Other: hopubo hoke negojo jijoci cafi English: the monkey hits frogs
Other: jijoci cafi dovica hopubo hoke English: ",frogs saw the monkey
"English: the cats will hit a crow Other: pomoci hoke negoyi yunebo cafi
English: crows will see a cat Other: yuneci cafi doviyi pomobo cafi
English: the crows saw the monkey Other: yuneci hoke dovica hopubo hoke
English: the frogs disliked the cats Other: jijoci hoke wanaca pomoci hoke
English: the monkey hits frogs Other: hopubo hoke negojo jijoci cafi
English: frogs saw the monkey Other: ",jijoci cafi dovica hopubo hoke
"Other: siyu jahoco jibogi siyu wedijo English: birds will see a dolphin
Other: jiqa robujo rakebu jiqa wedico English: the cat slaps the dolphins
Other: jiqa henajo xayubu siyu higajo English: the crow touches a monkey
Other: jiqa henajo feligi siyu wedico English: the crow will dislike dolphins
Other: siyu jahojo jibobu jiqa wedijo English: a bird sees the dolphin
Other: siyu henajo feligi siyu robujo English: ",a crow will dislike a cat
"English: birds will see a dolphin Other: siyu jahoco jibogi siyu wedijo
English: the cat slaps the dolphins Other: jiqa robujo rakebu jiqa wedico
English: the crow touches a monkey Other: jiqa henajo xayubu siyu higajo
English: the crow will dislike dolphins Other: jiqa henajo feligi siyu wedico
English: a bird sees the dolphin Other: siyu jahojo jibobu jiqa wedijo
English: a crow will dislike a cat Other: ",siyu henajo feligi siyu robujo
"Other: qixome foyu levote walu pazaye English: dolphins slapped the child
Other: fabimu foyu pazexe walu lezaye English: a cat will dislike the children
Other: cebimu foyu padari walu lerosi English: a monkey dislikes the dogs
Other: fayile walu pazaye walu pavote English: the child will see the dolphin
Other: qirome foyu lezaye walu parosi English: children praised the dog
Other: cebimu foyu lerosi walu pazaye English: ",dogs dislike the child
"English: dolphins slapped the child Other: qixome foyu levote walu pazaye
English: a cat will dislike the children Other: fabimu foyu pazexe walu lezaye
English: a monkey dislikes the dogs Other: cebimu foyu padari walu lerosi
English: the child will see the dolphin Other: fayile walu pazaye walu pavote
English: children praised the dog Other: qirome foyu lezaye walu parosi
English: dogs dislike the child Other: ",cebimu foyu lerosi walu pazaye
"Other: yarapu mayu yavupa zimu cabaxe English: the cat will touch a bird
Other: yamazi mayu yerapu mayu finude English: the frog praises the cats
Other: yadola mayu yecile mayu cabaxe English: the dolphin will touch the dogs
Other: yavupa zimu yedola mayu cayaxa English: a bird will dislike the dolphins
Other: yacile zimu yadola mayu finude English: a dog praises the dolphin
Other: yacile mayu yavupa zimu cayaxa English: ",the dog will dislike a bird
"English: the cat will touch a bird Other: yarapu mayu yavupa zimu cabaxe
English: the frog praises the cats Other: yamazi mayu yerapu mayu finude
English: the dolphin will touch the dogs Other: yadola mayu yecile mayu cabaxe
English: a bird will dislike the dolphins Other: yavupa zimu yedola mayu cayaxa
English: a dog praises the dolphin Other: yacile zimu yadola mayu finude
English: the dog will dislike a bird Other: ",yacile mayu yavupa zimu cayaxa
"Other: nedagi yiko lavugi yiko peqoli English: the crows disliked the frogs
Other: juwogi fuce lufiki fuce nizoli English: dolphins remembered a person
Other: wayuki fuce nedaki yiko qajama English: a dog sees the crow
Other: lufigi fuce juwogi fuce ciwama English: people like dolphins
Other: wayugi fuce qecagi yiko nizoma English: dogs remember the children
Other: lufigi yiko lavuki yiko peqoli English: ",the people disliked the frog
"English: the crows disliked the frogs Other: nedagi yiko lavugi yiko peqoli
English: dolphins remembered a person Other: juwogi fuce lufiki fuce nizoli
English: a dog sees the crow Other: wayuki fuce nedaki yiko qajama
English: people like dolphins Other: lufigi fuce juwogi fuce ciwama
English: dogs remember the children Other: wayugi fuce qecagi yiko nizoma
English: the people disliked the frog Other: ",lufigi yiko lavuki yiko peqoli
"Other: bosa xuwupo lava qowawo leqamo English: crows dislike the child
Other: lava qowapo lava jemowo zixave English: the children will remember the dolphin
Other: lava vevuwo lava qowawo nisemo English: the person wants the child
Other: bosa pusiwo lava xuwuwo leqawu English: a frog disliked the crow
Other: bosa jemowo bosa ninawo leqave English: a dolphin will dislike a cat
Other: lava pusiwo lava xuwupo zixave English: ",the frog will remember the crows
"English: crows dislike the child Other: bosa xuwupo lava qowawo leqamo
English: the children will remember the dolphin Other: lava qowapo lava jemowo zixave
English: the person wants the child Other: lava vevuwo lava qowawo nisemo
English: a frog disliked the crow Other: bosa pusiwo lava xuwuwo leqawu
English: a dolphin will dislike a cat Other: bosa jemowo bosa ninawo leqave
English: the frog will remember the crows Other: ",lava pusiwo lava xuwupo zixave
"Other: yece nataba pulela jeta segoba English: a dolphin slapped the monkey
Other: jeta segoba loduso yece piqoji English: the monkey touches cats
Other: jeta beviba sopaso jeta piqoba English: the dog sees the cat
Other: jeta nataba lodula yece segoba English: the dolphin touched a monkey
Other: jeta beviji pulela jeta piqoba English: the dogs slapped the cat
Other: jeta beviba lodula yece piqoji English: ",the dog touched cats
"English: a dolphin slapped the monkey Other: yece nataba pulela jeta segoba
English: the monkey touches cats Other: jeta segoba loduso yece piqoji
English: the dog sees the cat Other: jeta beviba sopaso jeta piqoba
English: the dolphin touched a monkey Other: jeta nataba lodula yece segoba
English: the dogs slapped the cat Other: jeta beviji pulela jeta piqoba
English: the dog touched cats Other: ",jeta beviba lodula yece piqoji
"Other: kafihe weba qezose qebahe giqi English: the cat disliked a dog
Other: lutevo giqi novose qebavo weba English: dolphins touched the dogs
Other: babehe weba zejuxa lutevo weba English: the crow will remember the dolphins
Other: babevo weba qezose kafivo weba English: the crows disliked the cats
Other: rekahe weba novoxa kafivo weba English: the monkey will touch the cats
Other: kafivo weba zejuxa qebavo weba English: ",the cats will remember the dogs
"English: the cat disliked a dog Other: kafihe weba qezose qebahe giqi
English: dolphins touched the dogs Other: lutevo giqi novose qebavo weba
English: the crow will remember the dolphins Other: babehe weba zejuxa lutevo weba
English: the crows disliked the cats Other: babevo weba qezose kafivo weba
English: the monkey will touch the cats Other: rekahe weba novoxa kafivo weba
English: the cats will remember the dogs Other: ",kafivo weba zejuxa qebavo weba
"Other: yele dapaju yokuti yele vexiju English: birds slapped cats
Other: dasa facopu metewi yele cemoju English: the person praises children
Other: yele cemopu meteti dasa tewupu English: a child praised the crow
Other: dasa vexiju metewi dasa tewuju English: the cats praise the crows
Other: yele zugiju kopaze yele vexipu English: dogs will remember a cat
Other: yele tewuju kopawi yele zugiju English: ",crows remember dogs
"English: birds slapped cats Other: yele dapaju yokuti yele vexiju
English: the person praises children Other: dasa facopu metewi yele cemoju
English: a child praised the crow Other: yele cemopu meteti dasa tewupu
English: the cats praise the crows Other: dasa vexiju metewi dasa tewuju
English: dogs will remember a cat Other: yele zugiju kopaze yele vexipu
English: crows remember dogs Other: ",yele tewuju kopawi yele zugiju
"Other: yese mozaqu bunu jikasu yumewu English: birds will want the dog
Other: yese wizisu bunu risisu yumewu English: a frog will want the crow
Other: bunu wizisu yese risiqu lamivu English: the frog touches crows
Other: bunu jikaqu bunu risisu wewive English: the dogs slapped the crow
Other: yese kosisu bunu bicusu yumevu English: a monkey wants the cat
Other: bunu wizisu bunu kosisu yumewu English: ",the frog will want the monkey
"English: birds will want the dog Other: yese mozaqu bunu jikasu yumewu
English: a frog will want the crow Other: yese wizisu bunu risisu yumewu
English: the frog touches crows Other: bunu wizisu yese risiqu lamivu
English: the dogs slapped the crow Other: bunu jikaqu bunu risisu wewive
English: a monkey wants the cat Other: yese kosisu bunu bicusu yumevu
English: the frog will want the monkey Other: ",bunu wizisu bunu kosisu yumewu
"Other: vonuwi hubu joqowi qeve jagamu English: the dog remembered crows
Other: joqowi hubu josufi qeve jaqiyo English: the crows touched cats
Other: voboha qeve vonuwi qeve bumowu English: a frog hits a dog
Other: jonuwi qeve jopiki hubu xuqiyo English: dogs will touch the birds
Other: vonuwi qeve jopiki hubu xumowu English: a dog will hit the birds
Other: joqowi qeve jonuwi hubu buqiyo English: ",crows touch the dogs
"English: the dog remembered crows Other: vonuwi hubu joqowi qeve jagamu
English: the crows touched cats Other: joqowi hubu josufi qeve jaqiyo
English: a frog hits a dog Other: voboha qeve vonuwi qeve bumowu
English: dogs will touch the birds Other: jonuwi qeve jopiki hubu xuqiyo
English: a dog will hit the birds Other: vonuwi qeve jopiki hubu xumowu
English: crows touch the dogs Other: ",joqowi qeve jonuwi hubu buqiyo
"Other: doyo xunugi koyaki doyo hulecu English: people slapped a bird
Other: hoha hulecu mazumu doyo xunucu English: the bird will hit a person
Other: hoha mamugi jusoki hoha bidagi English: the frogs remembered the monkeys
Other: doyo mapogi mazumu doyo bidacu English: children will hit a monkey
Other: hoha mapocu jusoki hoha jejecu English: the child remembered the cat
Other: hoha mapocu mazuki doyo xunucu English: ",the child hit a person
"English: people slapped a bird Other: doyo xunugi koyaki doyo hulecu
English: the bird will hit a person Other: hoha hulecu mazumu doyo xunucu
English: the frogs remembered the monkeys Other: hoha mamugi jusoki hoha bidagi
English: children will hit a monkey Other: doyo mapogi mazumu doyo bidacu
English: the child remembered the cat Other: hoha mapocu jusoki hoha jejecu
English: the child hit a person Other: ",hoha mapocu mazuki doyo xunucu
"Other: tusiwu tipa wehowu pibi zubipi English: a crow likes the child
Other: jorewu pibi wehowu tipa mupapi English: the dog sees a child
Other: wehogo pibi kojogo tipa fireje English: the children hit cats
Other: tusigo pibi lijiwu tipa wuqaje English: the crows touched a person
Other: wehowu tipa jorewu pibi gacupi English: a child wants the dog
Other: lijiwu pibi wehowu pibi wuqaje English: ",the person touched the child
"English: a crow likes the child Other: tusiwu tipa wehowu pibi zubipi
English: the dog sees a child Other: jorewu pibi wehowu tipa mupapi
English: the children hit cats Other: wehogo pibi kojogo tipa fireje
English: the crows touched a person Other: tusigo pibi lijiwu tipa wuqaje
English: a child wants the dog Other: wehowu tipa jorewu pibi gacupi
English: the person touched the child Other: ",lijiwu pibi wehowu pibi wuqaje
"Other: hacuye wicu bopiha yekote vigu English: the crows will slap a dolphin
Other: yekoye wicu zizega wokite wicu English: the dolphins like the dog
Other: yekote wicu zizega gubute wicu English: the dolphin likes the frog
Other: hacute vigu sinopu wokiye vigu English: a crow hit dogs
Other: yekoye vigu gotuga lunite vigu English: dolphins dislike a child
Other: hacute vigu bopiga yekote wicu English: ",a crow slaps the dolphin
"English: the crows will slap a dolphin Other: hacuye wicu bopiha yekote vigu
English: the dolphins like the dog Other: yekoye wicu zizega wokite wicu
English: the dolphin likes the frog Other: yekote wicu zizega gubute wicu
English: a crow hit dogs Other: hacute vigu sinopu wokiye vigu
English: dolphins dislike a child Other: yekoye vigu gotuga lunite vigu
English: a crow slaps the dolphin Other: ",hacute vigu bopiga yekote wicu
"Other: niqoxu fusi dijibi gawike pocu English: dolphins touched the bird
Other: lidoxu pocu dijide toxixu fusi English: the cats touch children
Other: gawike fusi qejebi lidoke pocu English: a bird saw the cat
Other: niqoke pocu juxoco lidoke fusi English: the dolphin will remember a cat
Other: yodaxu pocu dijico niqoxu pocu English: the people will touch the dolphins
Other: gawixu pocu qejeco yodaxu pocu English: ",the birds will see the people
"English: dolphins touched the bird Other: niqoxu fusi dijibi gawike pocu
English: the cats touch children Other: lidoxu pocu dijide toxixu fusi
English: a bird saw the cat Other: gawike fusi qejebi lidoke pocu
English: the dolphin will remember a cat Other: niqoke pocu juxoco lidoke fusi
English: the people will touch the dolphins Other: yodaxu pocu dijico niqoxu pocu
English: the birds will see the people Other: ",gawixu pocu qejeco yodaxu pocu
"Other: qeqe duzufu luki qogufu qubumo English: the children touch dogs
Other: qeqe qogufi luki govofi fudaco English: the dog will hit a person
Other: luki qogufu qeqe govofi natami English: dogs wanted the person
Other: luki jajufu luki duzufi qubumo English: monkeys touch a child
Other: luki qeqefu luki qogufi qubumo English: frogs touch a dog
Other: luki qeqefu qeqe qogufu qubuco English: ",frogs will touch the dogs
"English: the children touch dogs Other: qeqe duzufu luki qogufu qubumo
English: the dog will hit a person Other: qeqe qogufi luki govofi fudaco
English: dogs wanted the person Other: luki qogufu qeqe govofi natami
English: monkeys touch a child Other: luki jajufu luki duzufi qubumo
English: frogs touch a dog Other: luki qeqefu luki qogufi qubumo
English: frogs will touch the dogs Other: ",luki qeqefu qeqe qogufu qubuco
"Other: hidole zujo mukixe jayumo zujo English: the birds will praise the cat
Other: nevamo tapi basexa hidomo tapi English: a frog saw a bird
Other: jamale tapi yeqaxa kugamo zujo English: children wanted the dog
Other: nevamo zujo yeqaxa zecumo zujo English: the frog wanted the crow
Other: nevamo zujo lesixe zecule zujo English: the frog will remember the crows
Other: hidole zujo lesixa jamamo zujo English: ",the birds remembered the child
"English: the birds will praise the cat Other: hidole zujo mukixe jayumo zujo
English: a frog saw a bird Other: nevamo tapi basexa hidomo tapi
English: children wanted the dog Other: jamale tapi yeqaxa kugamo zujo
English: the frog wanted the crow Other: nevamo zujo yeqaxa zecumo zujo
English: the frog will remember the crows Other: nevamo zujo lesixe zecule zujo
English: the birds remembered the child Other: ",hidole zujo lesixa jamamo zujo
"Other: jeduxe gesose viye tiduse viye English: the monkey will like the frog
Other: qahuli sugise kuvi gesose viye English: a bird praises the monkey
Other: luqoxe sugise viye qewegi viye English: the bird will hit the dogs
Other: qahuli favase viye qewegi viye English: the dolphin praises the dogs
Other: qahuko favagi kuvi qewese kuvi English: dolphins praised a dog
Other: qahuxe qewese kuvi qewese viye English: ",a dog will praise the dog
"English: the monkey will like the frog Other: jeduxe gesose viye tiduse viye
English: a bird praises the monkey Other: qahuli sugise kuvi gesose viye
English: the bird will hit the dogs Other: luqoxe sugise viye qewegi viye
English: the dolphin praises the dogs Other: qahuli favase viye qewegi viye
English: dolphins praised a dog Other: qahuko favagi kuvi qewese kuvi
English: a dog will praise the dog Other: ",qahuxe qewese kuvi qewese viye
"Other: yafa xecuge gaxaqe yaqi tekage English: a crow disliked the frog
Other: yaqi tekage gaxaqe yafa cofuge English: the frog disliked a cat
Other: yafa tekaka gaxayu yafa haqeka English: frogs dislike children
Other: yafa cofuka yuciqe yaqi haqege English: cats slapped the child
Other: yaqi haqeka losoqe yaqi tekage English: the children praised the frog
Other: yafa tekage yuciqe yaqi xecuka English: ",a frog slapped the crows
"English: a crow disliked the frog Other: yafa xecuge gaxaqe yaqi tekage
English: the frog disliked a cat Other: yaqi tekage gaxaqe yafa cofuge
English: frogs dislike children Other: yafa tekaka gaxayu yafa haqeka
English: cats slapped the child Other: yafa cofuka yuciqe yaqi haqege
English: the children praised the frog Other: yaqi haqeka losoqe yaqi tekage
English: a frog slapped the crows Other: ",yafa tekage yuciqe yaqi xecuka
"Other: kesifa maxata voka tijita sife English: the frogs praised cats
Other: wabomo raweta voka juwoti voka English: a dog hits monkeys
Other: wabomo juwoti voka tijita voka English: frogs hit a dog
Other: degumo juwota sife vusuti sife English: the dolphin likes the dogs
Other: degumo vusuti sife julata sife English: the children like the dolphin
Other: kesimo juwota sife tijiti voka English: ",a frog praises the dogs
"English: the frogs praised cats Other: kesifa maxata voka tijita sife
English: a dog hits monkeys Other: wabomo raweta voka juwoti voka
English: frogs hit a dog Other: wabomo juwoti voka tijita voka
English: the dolphin likes the dogs Other: degumo juwota sife vusuti sife
English: the children like the dolphin Other: degumo vusuti sife julata sife
English: a frog praises the dogs Other: ",kesimo juwota sife tijiti voka
"Other: gimupo quwa lomena qiyo befafe English: the person sees children
Other: juxana quwa lomepo quwa tuxado English: the birds hit the child
Other: juxana quwa hejona quwa rinufe English: the birds touch the monkeys
Other: lomepo quwa gimupo qiyo woyado English: the child liked a person
Other: juxana quwa lomepo quwa rinudo English: the birds touched the child
Other: juxana qiyo juxana quwa befafe English: ",birds see the birds
"English: the person sees children Other: gimupo quwa lomena qiyo befafe
English: the birds hit the child Other: juxana quwa lomepo quwa tuxado
English: the birds touch the monkeys Other: juxana quwa hejona quwa rinufe
English: the child liked a person Other: lomepo quwa gimupo qiyo woyado
English: the birds touched the child Other: juxana quwa lomepo quwa rinudo
English: birds see the birds Other: ",juxana qiyo juxana quwa befafe
"Other: somiru puba wilome suraba puba English: the frog wants the cats
Other: suraru nufa qovalu bugoru puba English: a cat touched the crow
Other: lisuba nufa kobete rohoba puba English: children will dislike the monkeys
Other: somiba puba watulu bugoru nufa English: the frogs hit a crow
Other: suraru puba tuyote gineba nufa English: the cat will slap people
Other: gineba puba kobelu lisuba puba English: ",the people disliked the children
"English: the frog wants the cats Other: somiru puba wilome suraba puba
English: a cat touched the crow Other: suraru nufa qovalu bugoru puba
English: children will dislike the monkeys Other: lisuba nufa kobete rohoba puba
English: the frogs hit a crow Other: somiba puba watulu bugoru nufa
English: the cat will slap people Other: suraru puba tuyote gineba nufa
English: the people disliked the children Other: ",gineba puba kobelu lisuba puba
"Other: toqisu pube vixohi sogusu pube English: a dolphin will praise a cat
Other: rumisu pube hunide vejuke pube English: a person hits crows
Other: vejuke pube vixohi toqike pawe English: crows will praise the dolphins
Other: yekeke pawe vixohi qukasu pube English: the monkeys will praise a dog
Other: qukake pube nanina toqisu pawe English: dogs saw the dolphin
Other: qukasu pawe vixohi toqisu pawe English: ",the dog will praise the dolphin
"English: a dolphin will praise a cat Other: toqisu pube vixohi sogusu pube
English: a person hits crows Other: rumisu pube hunide vejuke pube
English: crows will praise the dolphins Other: vejuke pube vixohi toqike pawe
English: the monkeys will praise a dog Other: yekeke pawe vixohi qukasu pube
English: dogs saw the dolphin Other: qukake pube nanina toqisu pawe
English: the dog will praise the dolphin Other: ",qukasu pawe vixohi toqisu pawe
"Other: taru bubefu hihale taru horeyi English: monkeys slapped a frog
Other: wutu horefu dehama wutu vuyefu English: the frogs hit the birds
Other: taru horeyi joquma wutu vuyeyi English: a frog remembers the bird
Other: wutu riyiyi dupale wutu bubefu English: the dolphin disliked the monkeys
Other: wutu bubeyi hihale taru vuyefu English: the monkey slapped birds
Other: taru horeyi dupale wutu vuyeyi English: ",a frog disliked the bird
"English: monkeys slapped a frog Other: taru bubefu hihale taru horeyi
English: the frogs hit the birds Other: wutu horefu dehama wutu vuyefu
English: a frog remembers the bird Other: taru horeyi joquma wutu vuyeyi
English: the dolphin disliked the monkeys Other: wutu riyiyi dupale wutu bubefu
English: the monkey slapped birds Other: wutu bubeyi hihale taru vuyefu
English: a frog disliked the bird Other: ",taru horeyi dupale wutu vuyeyi
"Other: manu loteca manu xucuca webiho English: the dolphin will slap the cat
Other: rifo xucumo manu xuhuca gabalo English: cats touch the frog
Other: rifo bevomo manu dihica gabaho English: birds will touch the person
Other: manu dihica manu bevomo gemiho English: the person will like the birds
Other: rifo gobumo rifo xucuca dixilo English: children see a cat
Other: rifo xucumo manu dihimo gemilo English: ",cats like the people
"English: the dolphin will slap the cat Other: manu loteca manu xucuca webiho
English: cats touch the frog Other: rifo xucumo manu xuhuca gabalo
English: birds will touch the person Other: rifo bevomo manu dihica gabaho
English: the person will like the birds Other: manu dihica manu bevomo gemiho
English: children see a cat Other: rifo gobumo rifo xucuca dixilo
English: cats like the people Other: ",rifo xucumo manu dihimo gemilo
"Other: xakaqe temo topuju ramuxu temo English: crows touched a child
Other: ramuqe temo rovapu xakaxu temo English: children dislike a crow
Other: farixu zede sokibi hidexu zede English: the bird will like the dolphin
Other: farixu temo kivoju lamoqe zede English: a bird remembered the people
Other: lamoqe temo rovaju ramuxu zede English: people disliked the child
Other: ramuxu temo sokiju farixu temo English: ",a child liked a bird
"English: crows touched a child Other: xakaqe temo topuju ramuxu temo
English: children dislike a crow Other: ramuqe temo rovapu xakaxu temo
English: the bird will like the dolphin Other: farixu zede sokibi hidexu zede
English: a bird remembered the people Other: farixu temo kivoju lamoqe zede
English: people disliked the child Other: lamoqe temo rovaju ramuxu zede
English: a child liked a bird Other: ",ramuxu temo sokiju farixu temo
"Other: qizoke sumi nogiro sumi liwiwa English: the dogs liked the cat
Other: cewoke hide nogiro sumi madewa English: children praised the cat
Other: qizoro hide nogike hide liwiwa English: a dog liked cats
Other: cewoke hide qizoro hide liyoci English: children see a dog
Other: nogiro hide ceworo hide hecamu English: a cat will dislike a child
Other: nogiro sumi nogiro hide liyowa English: ",the cat saw a cat
"English: the dogs liked the cat Other: qizoke sumi nogiro sumi liwiwa
English: children praised the cat Other: cewoke hide nogiro sumi madewa
English: a dog liked cats Other: qizoro hide nogike hide liwiwa
English: children see a dog Other: cewoke hide qizoro hide liyoci
English: a cat will dislike a child Other: nogiro hide ceworo hide hecamu
English: the cat saw a cat Other: ",nogiro sumi nogiro hide liyowa
"Other: mivano vezi tonoci gahi cokira English: cats will praise the monkey
Other: mivano vezi biqeno vezi fayufu English: cats remembered frogs
Other: wucici gahi ninuno gahi fayufu English: the dolphin remembered the birds
Other: biqeci vezi wucino gahi monofu English: a frog slapped the dolphins
Other: mivaci gahi ninuno gahi kidufu English: the cat touched the birds
Other: ninuno gahi ninuno vezi monofu English: ",the birds slapped birds
"English: cats will praise the monkey Other: mivano vezi tonoci gahi cokira
English: cats remembered frogs Other: mivano vezi biqeno vezi fayufu
English: the dolphin remembered the birds Other: wucici gahi ninuno gahi fayufu
English: a frog slapped the dolphins Other: biqeci vezi wucino gahi monofu
English: the cat touched the birds Other: mivaci gahi ninuno gahi kidufu
English: the birds slapped birds Other: ",ninuno gahi ninuno vezi monofu
"Other: lebadi yate hunesi qetuva jedo English: the frogs will remember a dolphin
Other: lebadi jedo zozezo muvava jedo English: frogs hit a bird
Other: lebadi jedo rozizu xequdi jedo English: frogs like dogs
Other: wehodi yate hunezu qetuva yate English: the people remember the dolphin
Other: xequva jedo mirozo rebedi jedo English: a dog disliked children
Other: xequdi jedo zozezo muvava jedo English: ",dogs hit a bird
"English: the frogs will remember a dolphin Other: lebadi yate hunesi qetuva jedo
English: frogs hit a bird Other: lebadi jedo zozezo muvava jedo
English: frogs like dogs Other: lebadi jedo rozizu xequdi jedo
English: the people remember the dolphin Other: wehodi yate hunezu qetuva yate
English: a dog disliked children Other: xequva jedo mirozo rebedi jedo
English: dogs hit a bird Other: ",xequdi jedo zozezo muvava jedo
"Other: vihiva vari zexoce vari jihaba English: monkeys will hit a cat
Other: finoki vari zebewe vari jihaba English: children remembered a cat
Other: viyuqe lisa jihawu lisa zexoce English: the crow will like the monkeys
Other: viyuqe vari jihaba vari jixoce English: a cat will like a monkey
Other: figogi vari jibewe lisa jileri English: a child disliked the dog
Other: viyuqe vari jibewe lisa jixoce English: ",a child will like the monkey
